Yard number,Yard name,Sale Date M/D/CY,Day of Week,Sale time (HHMM),Time Zone,Item#,Lot number,Vehicle Type,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Secondary Damage,Sale Title State,Sale Title Type,Has Keys-Yes or No,Lot Cond. Code,VIN,Odometer,Odometer Brand,Est. Retail Value,Repair cost,Engine,Drive,Transmission,Fuel Type,Cylinders,Runs/Drives,Sale Status,"High Bid =non-vix,Sealed=Vix",Special Note,Location city,Location state,Location ZIP,Location country,Currency Code,Image Thumbnail,Create Date/Time,Grid/Row,Make-an-Offer Eligible,Buy-It-Now Price
56,SC - COLUMBIA,20161230,FRIDAY,1000,EST,0,21141253,V,2007,CADILLAC,STS,STS, ,BLACK,MINOR DENT/SCRATCHES, ,SC,BS,YES,E,21141253N0V1N,0,N,0,0, , , , , ,DEFAULT,On Minimum Bid,0, ,GASTON,SC,29053,USA,USD,images.copart.com/website/data/pix/20130612/21141253_1.JPG,2016-12-18-05.31.55.290958, ,N,0
154,NC - MEBANE,20161221,WEDNESDAY,1000,EST,0,21311153,V,1999,CHEVROLET,CORVETTE,CORVETTE,CONVERTI,BLUE,BURN, ,NC,SC,EXM,E,1G1YY32G3X5122915,0,E,11363,0,5.7L  8,Rear-wheel drive,4 SPEED AUTOMATIC W/,GAS,8,DEFAULT,On Minimum Bid,175, ,MEBANE,NC,27302,USA,USD,images.copart.com/website/data/pix/20130614/21311153_1.JPG,2016-12-18-05.31.55.290958, ,N,0
48,WA - NORTH SEATTLE,20161219,MONDAY,1200,PST,801,21496523,E,2000,ROADMASTER RAIL,ALL MODELS,EXECUTIVE/,MOTORIZE,WHITE,BURN - INTERIOR, ,WA,BS,EXM,E,1RF120619Y1007252,0,E,88279,0,.0L  6,Rear-wheel drive, ,DIESEL,6,DEFAULT,On Approval,150, ,ARLINGTON,WA,98223,USA,USD,images.copart.com/website/data/pix/20130618/21496523_1.JPG,2016-12-18-05.31.55.290958,*SALE,N,0
38,WI - MADISON,20161227,TUESDAY,1200,CST,0,21503723,M,1968,PACE,BOAT ONLY,BOAT ONLY, ,WHITE,BURN, ,WI,BP,EXM,N,33G207,0,E,27400,0, , , , , ,DEFAULT,On Minimum Bid,0,SPECIALTYBOATS,MADISON,WI,53718,USA,USD,images.copart.com/website/data/pix/20130618/21503723_1.JPG,2016-12-18-05.31.55.290958, ,N,0
61,MI - DETROIT,20161220,TUESDAY,1000,EST,0,25283563,V,2007,CADILLAC,ESCALADE,ESCALADE E,4DR SPOR,WHITE,STRIPPED,VANDALISM,MI,JB,EXM,E,1GYFK66817R302515,0,N,0,0,6.2L  8,All wheel drive,R,GAS,8,DEFAULT,On Approval,0, ,WOODHAVEN,MI,48183,USA,USD,images.copart.com/website/data/pix/20130603/25283563_1.JPG,2016-12-18-05.31.55.290958, ,N,0
14,TX - LONGVIEW,20161219,MONDAY,1200,CST,2585,25796903,V,2008,CHEVROLET,SILVERADO,SILVERADO,PICKUP,WHITE,FRONT END,ALL OVER,TX,SV,YES,S,1GCHC24K28E217887,111931,A,0,0,6.0L  8,Rear-wheel drive,R,GAS,8,Vehicle Starts, ,30, ,LONGVIEW,TX,75603,USA,USD,images.copart.com/website/data/pix/20130829/25796903_1.JPG,2016-12-18-05.31.55.290958,HV018,N,0
87,GA - SAVANNAH,20161219,MONDAY,1000,EST,1161,27317803,V,2005,KIA,SEDONA,SEDONA EX/,SPORTS V,GOLD,BURN - ENGINE, ,GA,FR,YES,E,KNDUP131356615623,0,E,4275,0,3.5L  6,Front-wheel Drive,UNKNOWN OTHER/AUTOMA,GAS,6,DEFAULT,On Minimum Bid,60, ,SAVANNAH,GA,31405,USA,USD,images.copart.com/website/data/pix/20130924/27317803_1.JPG,2016-12-18-05.31.55.290958,Q040,N,0
110,HI - HONOLULU,20161219,MONDAY,1200,HST,70,28079793,K,1984,AMERICAN GENERAL,M936,M936, ,GREEN,MINOR DENT/SCRATCHES, ,AZ,CT,NO,D,C53600375,3041,A,0,0, , , , , ,Run & Drive Verified,On Minimum Bid,500, ,KAPOLEI,HI,96707,USA,USD,images.copart.com/website/data/pix/20131007/28079793_1.JPG,2016-12-18-05.31.55.290958,HVY,N,0
63,TN - NASHVILLE,20161219,MONDAY,1200,CST,876,30833253,L,1997,WABA,TRAILER,TRAILER, ,WHITE,REAR END, ,TN,SC,EXM,E,1JJV532Y1VL412968,0,E,4646,6074.91, , , , , ,DEFAULT,On Minimum Bid,40, ,LEBANON,TN,37090,USA,USD,images.copart.com/website/data/pix/20131113/30833253_1.JPG,2016-12-18-05.31.55.290958,HVY14,N,0
66,AL - TANNER,20161221,WEDNESDAY,1200,CST,0,31552203,R,1998,JAYC,EAGLE,EAGLE, ,WHITE,BURN, ,AL,ST,EXM,E,1UJBJ02P7W1CP0395,0,E,0,0, , , , , ,DEFAULT,On Minimum Bid,0, ,TANNER,AL,35671,USA,USD,images.copart.com/website/data/pix/20130410/31552203_1.JPG,2016-12-18-05.31.55.290958, ,N,0
54,NC - RALEIGH,20161220,TUESDAY,1000,EST,4163,32146983,V,2006,FORD,F150,F150,4DR EXT,GRAY,SIDE,BIOHAZARD/CHEMICAL,NC,SC,YES,E,1FTRX12WX6NB80724,0,N,12748,9998.5,4.6L  8,Rear-wheel drive,5 SPEED MANUAL W/OVE,GAS,8,DEFAULT,On Minimum Bid,0, ,DUNN,NC,28334,USA,USD,images.copart.com/website/data/pix/20131126/32146983_1.JPG,2016-12-18-05.31.55.290958,BB020,N,0
167,IN - HAMMOND,20161219,MONDAY,1200,CST,1106,32556343,V,2007,CHEVROLET,UPLANDER,UPLANDER L,SPORTS V,MAROON,FRONT END, ,IN,ST,YES,S,1GNDU23197D143089,122491,A,5925,6712,3.9L  6,Front-wheel Drive,4 SPEED AUTOMATIC W/,GAS,6,Vehicle Starts,On Minimum Bid,250, ,HAMMOND,IN,46320,USA,USD,images.copart.com/website/data/pix/20131115/32556343_1.JPG,2016-12-18-05.31.55.290958,SB001,N,0
63,TN - NASHVILLE,20161219,MONDAY,1200,CST,857,12765774,U,2000,STERLING TRUCK,ALL MODELS,LT9511,CONVENTI,RED,BURN, ,TN,NR,EXM,E,2FZNNXYB3YAB61194,0,E,30132,58312,14.6L  6,Rear-wheel drive, ,DIESEL,6,DEFAULT,On Approval,325, ,LEBANON,TN,37090,USA,USD,images.copart.com/website/data/pix/20140109/12765774_1.JPG,2016-12-18-05.31.55.290958,HVY12,N,0
36,IL - CHICAGO NORTH,20161229,THURSDAY,1200,CST,0,32507613,V,2008,CHEVROLET,SILVERADO,SILVERADO,CREW PIC,UNKNOWN -,BURN, ,IL,JT,YES,E,1GCHK236X8F131583,0,N,39650,39650,6.6L  8,Four by Four,R,DIESEL,8,DEFAULT,On Minimum Bid,0,VEH LOC @ BARTLETT SUBLOT,ELGIN,IL,60120,USA,USD,images.copart.com/website/data/pix/20110315/32507613_1.JPG,2016-12-18-05.31.55.290958, ,N,0
56,SC - COLUMBIA,20161220,TUESDAY,1000,EST,0,13713964,L,1999,UTIL,HOMEMADE,HOMEMADE, ,BROWN,ALL OVER, ,SC,BS,EXM,E,N0V1N13713964,0,E,250,0, , , , , ,DEFAULT,On Approval,0,VEHICLE LOC @PINE PLAIN LOT,GASTON,SC,29053,USA,USD,images.copart.com/website/data/pix/20140122/13713964_1.JPG,2016-12-18-05.31.55.290958, ,N,0
112,OH - CLEVELAND WEST,20161219,MONDAY,1000,EST,2546,32713023,V,1997,FORD,F150,F150,3DR EXT,GREEN,SIDE, ,OH,ST,YES,E,1FTDX18W6VND32451,205710,A,7126,9142,4.6L  8,Four by Four,5 SPEED MANUAL W/OVE,GAS,8,DEFAULT,On Minimum Bid,90,VEHICLE LOCATED @ SUB LOT,COLUMBIA STATION,OH,44028,USA,USD,images.copart.com/website/data/pix/20130221/32713023_1.JPG,2016-12-18-05.31.55.290958,SA008,N,0
167,IN - HAMMOND,20161219,MONDAY,1200,CST,36,15186094,V,2007,FORD,CROWN VIC,CROWN VIC,SEDAN 4D,BLUE,REAR END,FRONT END,IN,ST,YES,D,2FAFP71W77X114922,163824,A,2000,0,4.6L  8,Rear-wheel drive,4 SPEED AUTOMATIC W/,GAS,8,Run & Drive Verified,On Minimum Bid,125,VEHICLE LOC @ SUB LOT,HAMMOND,IN,46320,USA,USD,images.copart.com/website/data/pix/20140212/15186094_1.JPG,2016-12-18-05.31.55.290958,SE002,N,0
61,MI - DETROIT,20161220,TUESDAY,1000,EST,0,15533524,V,2011,FORD,ESCAPE,ESCAPE LIM,4DR SPOR,BLACK,BURN - ENGINE, ,MI,PO,YES,E,1FMCU9EG7BKC05765,0,N,18825,18875,3.0L  6,Four by Four,R,FLEXIBLE FUEL,6,DEFAULT,On Minimum Bid,0, ,WOODHAVEN,MI,48183,USA,USD,images.copart.com/website/data/pix/20140218/15533524_1.JPG,2016-12-18-05.31.55.290958, ,N,0
159,MI - FLINT,20161221,WEDNESDAY,1000,EST,79,15662514,V,2007,JEEP,LIBERTY,LIBERTY SP,4DR SPOR,WHITE,FRONT END, ,MI,CT,YES,D,1J4GL48K57W675377,80420,A,8925,7619,3.7L  6,Four by Four,6 SPEED MANUAL,GAS,6,Run & Drive Verified, ,0, ,DAVISON,MI,48423,USA,USD,images.copart.com/website/data/pix/20140220/15662514_1.JPG,2016-12-18-05.31.55.290958,E030,N,0
66,AL - TANNER,20161221,WEDNESDAY,1200,CST,0,17130384,R,2012,BISO,TRAILER,TRAILER, ,BURN,BURN, ,AL,BS,EXM,N,51Y316826C2001725,0,N,34497.94,0, , , , , ,DEFAULT, ,0, ,TANNER,AL,35671,USA,USD,images.copart.com/website/data/pix/20140314/17130384_1.JPG,2016-12-18-05.31.55.290958, ,N,0
64,WA - GRAHAM,20161220,TUESDAY,1200,PST,0,17314354,V,2013,FORD,FIESTA,FIESTA SE,SEDAN 4D,PURPLE,BURN, ,WA,BS,YES,E,3FADP4BJ1DM162786,0,N,12650,20753,1.6L  4,Front-wheel Drive,5 SPEED MANUAL,GAS,4,DEFAULT, ,0, ,GRAHAM,WA,98338,USA,USD,images.copart.com/website/data/pix/20140318/17314354_1.JPG,2016-12-18-05.31.55.290958, ,N,0
58,AL - MOBILE,20161222,THURSDAY,1200,CST,0,18120494,V,2003,FORD,MUSTANG,MUSTANG GT,CONVERTI,WHITE,FRONT END, ,AL,ST,YES,E,1FAFP45X53F365980,0,E,8350,0,4.6L  8,Rear-wheel drive,5 SPEED MANUAL,GAS,8,DEFAULT,On Minimum Bid,0, ,EIGHT MILE,AL,36613,USA,USD,images.copart.com/website/data/pix/20140331/18120494_1.JPG,2016-12-18-05.31.55.290958, ,N,0
61,MI - DETROIT,20161220,TUESDAY,1000,EST,0,19430474,V,2004,CHEVROLET,IMPALA,IMPALA,SEDAN 4D,GRAY,STRIPPED, ,MI,SB,YES,E,2G1WF52E949289270,0,E,0,0,3.4L  6,Front-wheel Drive,4 SPEED AUTOMATIC W/,GAS,6,DEFAULT,On Approval,0, ,WOODHAVEN,MI,48183,USA,USD,images.copart.com/website/data/pix/20140124/19430474_1.JPG,2016-12-18-05.31.55.290958, ,N,0
156,IL - WHEELING,20161219,MONDAY,1200,CST,2523,19656634,V,2003,CHEVROLET,TRACKER,TRACKER,4DR SPOR,SILVER,ALL OVER, ,IL,SC,YES,E,2CNBJ13C236919863,0,E,5679.65,0,2.0L  4,Four by Four,5 SPEED MANUAL W/OVE,GAS,4,DEFAULT, ,100, ,WHEELING,IL,60090,USA,USD,images.copart.com/website/data/pix/20161109/19656634_01.JPG,2016-12-18-05.31.55.290958,C010,N,0
36,IL - CHICAGO NORTH,20161222,THURSDAY,1200,CST,0,20284634,U,2005,FREIGHTLINER,ALL MODELS,CONVENTION,TRACTOR,BLACK,SIDE,REPLACED VIN,IL,SC,YES,E,1FUJA6CK05LN15547,0,E,25000,41118,14.1L  6,Rear-wheel drive, ,DIESEL,6,DEFAULT,On Approval,0, ,ELGIN,IL,60120,USA,USD,images.copart.com/website/data/pix/20140505/20284634_1.JPG,2016-12-18-05.31.55.290958, ,N,0
161,MI - KINCHELOE,20161221,WEDNESDAY,1000,EST,0,20777414,V,2003,JEEP,WRANGLER,WRANGLER X,2DR SPOR,BLACK,FRONT END, ,MI,SB,NO,E,1J4FA39S13P368190,0,E,12150,9918,4.0L  6,Four by Four,5 SPEED MANUAL,GAS,6,DEFAULT,On Approval,0, ,KINCHELOE,MI,49788,USA,USD,images.copart.com/website/data/pix/20130911/20777414_1.JPG,2016-12-18-05.31.55.290958, ,N,0
56,SC - COLUMBIA,20170120,FRIDAY,1000,EST,0,21712064,V,1998,BMW,Z3,Z3 2.8,CONVERTI,BURN,BURN, ,NC,PO,EXM,E,4USCJ333XWLC14175,0,E,7550,7050,2.8L  6,Rear-wheel drive,5 SPEED MANUAL,GAS,6,DEFAULT,On Approval,0,VEHICLE LOC@ PINE PLAINS LOT,GASTON,SC,29053,USA,USD,images.copart.com/website/data/pix/20140528/21712064_1.JPG,2016-12-18-05.31.55.290958, ,N,0
36,IL - CHICAGO NORTH,20161222,THURSDAY,1200,CST,0,22862084,V,1995,TOYOTA,AVALON,AVALON XL,SEDAN 4D,WHITE,SIDE, ,IL,JT,YES,E,4T1GB10E2SU026813,108011,A,3533.47,0,3.0L  6,Front-wheel Drive,4 SPEED AUTOMATIC W/,GAS,6,DEFAULT,On Approval,0,VEH LOC @ BARTLETT SUBLOT,ELGIN,IL,60120,USA,USD,images.copart.com/website/data/pix/20140613/22862084_1.JPG,2016-12-18-05.31.55.290958, ,N,0
56,SC - COLUMBIA,20161230,FRIDAY,1000,EST,0,23479654,V,2009,CHEVROLET,IMPALA,IMPALA 1LT,SEDAN 4D,BLACK,SIDE,REAR END,SC,ST,YES,D,2G1WT57K991313712,108393,N,8494,6507.98,3.5L  6,Front-wheel Drive,4 SPEED AUTOMATIC W/,FLEXIBLE FUEL,6,Run & Drive Verified, ,900, ,GASTON,SC,29053,USA,USD,images.copart.com/website/data/pix/20140624/23479654_1.JPG,2016-12-18-05.31.55.290958, ,N,0
12,TX - DALLAS,20161222,THURSDAY,1200,CST,0,23853714,V,1997,NISSAN,MAXIMA,MAXIMA GLE,SEDAN 4D,WHITE,NORMAL WEAR,MINOR DENT/SCRATCHES,TX,SV,YES,D,JN1CA21D5VT821532,148253,A,0,0,3.0L  6,Front-wheel Drive,5 SPEED MANUAL,GAS,6,Run & Drive Verified,On Minimum Bid,0, ,GRAND PRAIRIE,TX,75051,USA,USD,images.copart.com/website/data/pix/20140630/23853714_1.JPG,2016-12-18-05.31.55.290958, ,N,0
36,IL - CHICAGO NORTH,20161222,THURSDAY,1200,CST,0,24656754,V,2007,HUMMER,H3,H3 SUV,4DR SPOR,BLACK,BURN,REPLACED VIN,IL,JT,NO,E,5GTDN13E678216973,0,N,17975,0,3.7L  5,All wheel drive,5 SPEED MANUAL W/OVE,GAS,5,DEFAULT,On Minimum Bid,0, ,ELGIN,IL,60120,USA,USD,images.copart.com/website/data/pix/20140708/24656754_1.JPG,2016-12-18-05.31.55.290958, ,N,0
167,IN - HAMMOND,20161219,MONDAY,1200,CST,2529,24801064,V,2013,KIA,RIO,RIO LX,SEDAN 4D,SILVER,FRONT END,REAR END,IL,SC,YES,E,KNADM4A31D6292750,0,N,14500,0,1.6L  4,Front-wheel Drive,6 SPEED MANUAL,GAS,4,DEFAULT,On Minimum Bid,150, ,HAMMOND,IN,46320,USA,USD,images.copart.com/website/data/pix/20140710/24801064_1.JPG,2016-12-18-05.31.55.290958,SE001,Y,975
48,WA - NORTH SEATTLE,20161219,MONDAY,1200,PST,903,24829024,R,1999,OTHR,SALEM,SALEM, ,BURN,BURN, ,WA,BS,EXM,N,4X4FSMF23XC003403,0,E,8795,0, , , , , ,DEFAULT,On Approval,50, ,ARLINGTON,WA,98223,USA,USD,images.copart.com/website/data/pix/20140710/24829024_1.JPG,2016-12-18-05.31.55.290958,*SALE,N,0
154,NC - MEBANE,20161221,WEDNESDAY,1000,EST,0,25117434,V,1993,TOYOTA,CAMRY,CAMRY LE,SEDAN 4D,BLACK,SIDE, ,NC,SC,NO,E,4T1SK12E9PU324418,229772,E,1859.18,2980,2.2L  4,Front-wheel Drive,4 SPEED AUTOMATIC,GAS,4,DEFAULT, ,0,MISSING CATALYTIC CONVERTER,MEBANE,NC,27302,USA,USD,images.copart.com/website/data/pix/20140715/25117434_1.JPG,2016-12-18-05.31.55.290958, ,N,0
104,OR - EUGENE,20161220,TUESDAY,1200,PST,1144,25398184,V,2007,GMC,ENVOY,ENVOY,4DR SPOR,BURN,BURN, ,OR,PO,EXM,E,1GKDT13S572132427,0,N,13448,0,4.2L  6,Four by Four,4 SPEED AUTOMATIC W/,GAS,6,DEFAULT, ,0, ,EUGENE,OR,97402,USA,USD,images.copart.com/website/data/pix/20140718/25398184_1.JPG,2016-12-18-05.31.55.290958,HV005,N,0
48,WA - NORTH SEATTLE,20161219,MONDAY,1200,PST,701,25484794,M,1971,CRIS,BOAT ONLY,BOAT ONLY, ,TWO TONE,BURN, ,WA,CT,EXM,N,FXA315031,0,E,9750,0, , , , , ,DEFAULT,On Approval,25, ,ARLINGTON,WA,98223,USA,USD,images.copart.com/website/data/pix/20140721/25484794_01.JPG,2016-12-18-05.31.55.290958,*SALE,N,0
73,TX - ABILENE,20161223,FRIDAY,1200,CST,0,25550034,V,2008,CHEVROLET,AVEO,AVEO/LS,SEDAN 4D,SILVER,WATER/FLOOD,MECHANICAL,TX,FV,YES,N,KL1TD56648B014758,80657,A,6700,4126.53,1.6L  4,Front-wheel Drive,5 SPEED MANUAL,GAS,4,DEFAULT, ,0, ,ABILENE,TX,79601,USA,USD,images.copart.com/website/data/pix/20140722/25550034_1.JPG,2016-12-18-05.31.55.290958, ,N,0
21,AR - LITTLE ROCK,20161219,MONDAY,1200,CST,903,25615504,R,2001,OTHR,TRAVEL TRL,TRAVEL TRL, ,WHITE,SIDE, ,AR,PO,YES,E,4PXT3272X13019272,0,E,0,0, , , , , ,DEFAULT,On Minimum Bid,175, ,CONWAY,AR,72032,USA,USD,images.copart.com/website/data/pix/20140722/25615504_1.JPG,2016-12-18-05.31.55.290958,HV004,N,0
312,IA - CRASHEDTOYS ELDRIDGE,20161221,WEDNESDAY,1400,CST,0,27226444,H,2000,TAO,50,50, ,BLACK,ALL OVER, ,IA, ,NO,N, ,587, ,449,0, , , , , ,DEFAULT,On Minimum Bid,0, ,ELDRIDGE,IA,52748,USA,USD,images.copart.com/website/data/pix/20130625/27226444_01.JPG,2016-12-18-05.31.55.290958, ,N,0
148,FL - MIAMI SOUTH,20161221,WEDNESDAY,1000,EST,1106,27644654,V,2012,JEEP,CHEROKEE,GRAND CHER,4DR SPOR,WHITE,FRONT END, ,FL,CD,YES,E,1C4RJEAG9CC305478,0,N,20637,18712,3.6L  6,Rear-wheel drive,P,FLEXIBLE FUEL,6,DEFAULT,On Minimum Bid,0, ,HOMESTEAD,FL,33032,USA,USD,images.copart.com/website/data/pix/20140821/27644654_1.JPG,2016-12-18-05.31.55.290958,SB070,N,0
